"main_category","currency","goal","pledged",,,
"Photography","USD","1000","95",,,
"Fashion","USD","2500","25",,,
"Technology","USD","6000","20",,,
"Games","USD","12000","3100.66",,,
"Technology","USD","8500","1355",,,
"Theater","USD","7500","8315",,,
"Technology","USD","250000","268192",,,
"Publishing","USD","1000","2883.5",,,
"Games","USD","70000","15542.11",,,
"Games","USD","7500","942.25",,,
"Fashion","USD","36000","91003.67",,,
"Music","USD","5000","0",,,
"Film & Video","USD","100000","8085",,,
"Art","USD","1200","2",,,
"Film & Video","USD","6500","555",,,
"Music","USD","32000","4670",,,
"Music","USD","777","923",,,
"Publishing","USD","7500","9500",,,
"Film & Video","USD","50000","2161",,,
"Design","USD","80000","843743",,,
"Music","USD","2000","2036",,,
"Design","USD","9500","0",,,
"Film & Video","USD","5000","5120",,,
"Design","USD","10000","805",,,
"Games","USD","50000","1825",,,
"Music","USD","4000","4629",,,
"Design","USD","30000","1041",,,
"Design","USD","5000","26407",,,
"Music","USD","4000","30",,,
"Publishing","USD","19650","20313",,,
"Film & Video","USD","800","850",,,
"Art","USD","275","642",,,
"Games","USD","14000","113",,,
"Music","USD","15000","18009",,,
"Photography","USD","2500","0",,,
"Design","USD","35000","39209",,,
"Photography","USD","11000","75",,,
"Fashion","USD","3000","23079",,,
"Photography","USD","17500","656",,,
"Film & Video","USD","500","5",,,
"Film & Video","USD","5000","0",,,
"Theater","USD","4000","4813",,,
"Design","USD","8000","0",,,
"Theater","USD","9000","10046",,,
"Games","USD","1500","1620",,,
"Publishing","USD","3500","0",,,
"Games","USD","150","60",,,
"Film & Video","USD","5250","0",,,
"Games","USD","300000","1",,,
"Art","USD","3000","4386",,,
"Music","USD","2000","170",,,
"Crafts","USD","7000","0",,,
"Games","USD","750","1207",,,
"Comics","USD","2000","2585",,,
"Publishing","USD","1500","1500",,,
"Food","USD","25000","30066",,,
"Publishing","USD","15000","25",,,
"Games","USD","5000","176",,,
"Dance","USD","1200","1205",,,
"Design","USD","150","218",,,
"Publishing","USD","500","1",,,
"Music","USD","1000","0",,,
"Design","USD","75000","1736",,,
"Music","USD","5500","0",,,
"Film & Video","USD","1500","1612",,,
"Photography","USD","17000","35",,,
"Comics","USD","5150","5965.5",,,
"Technology","USD","5000","5000",,,
"Film & Video","USD","20000","22421",,,
"Food","USD","100000","1600",,,
"Film & Video","USD","5500","6614",,,
"Food","USD","25000","0",,,
"Art","USD","5000","0",,,
"Dance","USD","450","160",,,
"Technology","USD","3500","107",,,
"Food","USD","22500","50",,,
"Art","USD","5000","52",,,
"Games","USD","25000","18431",,,
"Publishing","USD","350","1067",,,
"Games","USD","12000","686",,,
"Food","USD","28000","12024",,,
"Dance","USD","1500","1900",,,
"Music","USD","10000","11713",,,
"Music","USD","10000","10328",,,
"Film & Video","USD","2500","1186.69",,,
"Games","USD","800","45",,,
"Film & Video","USD","2000","310",,,
"Film & Video","USD","3397.98","50",,,
"Art","USD","3000","3125",,,
"Film & Video","USD","10000","1765",,,
"Film & Video","USD","5000","100",,,
"Film & Video","USD","3500","3585",,,
"Film & Video","USD","40000","733",,,
"Art","USD","1000","1145",,,
"Fashion","USD","10000","3238",,,
"Art","USD","30000","1152",,,
"Technology","USD","25000","227673",,,
"Art","USD","10000","11511.1",,,
"Comics","USD","2500","2611",,,
"Design","USD","9225","1076",,,
"Publishing","USD","2200","2510",,,
"Art","USD","550","708",,,
"Food","USD","3500","1278",,,
"Music","USD","1300","625",,,
"Film & Video","USD","2500","3863.37",,,
"Fashion","USD","1500","247",,,
"Film & Video","USD","9000","171",,,
"Art","USD","4500","5263",,,
"Games","USD","10000","60",,,
"Publishing","USD","3800","272",,,
"Games","USD","7000","7782",,,
"Film & Video","USD","45000","220",,,
"Music","USD","5000","1",,,
"Film & Video","USD","19500","1283",,,
"Food","USD","50000","52375",,,
"Food","USD","1000","1205",,,
"Food","USD","25000","453",,,
"Design","USD","125000","8233",,,
"Film & Video","USD","65000","6240.57",,,
"Music","USD","12500","12700",,,
"Crafts","USD","5000","0",,,
"Games","USD","200000","0",,,
"Design","USD","2500","664",,,
"Comics","USD","1500","395",,,
"Publishing","USD","3000","789",,,
"Music","USD","250","250",,,
"Food","USD","5000","1781",,,
"Fashion","USD","20000","34268",,,
"Theater","USD","3500","650",,,
"Comics","USD","175","701.66",,,
"Music","USD","10000","15827",,,
"Design","USD","1000","47266",,,
"Art","USD","25000","1395",,,
"Music","USD","12000","13260",,,
"Film & Video","USD","10000","1373.37",,,
"Music","USD","4000","8641.34",,,
"Film & Video","USD","10000","15663",,,
"Art","USD","3000","17",,,
"Music","USD","15000","17499.99",,,
"Photography","USD","15000","23907",,,
"Music","USD","10000","12656",,,
"Film & Video","USD","2500","0",,,
"Food","USD","40000","63401",,,
"Film & Video","USD","8000","9401",,,
"Games","USD","3000","8105",,,
"Art","USD","1200","90",,,
"Film & Video","USD","60000","61365.16",,,
"Art","USD","7500","3",,,
"Photography","USD","4000","4866.17",,,
"Film & Video","USD","11000","11055",,,
"Food","USD","13750","1",,,
"Publishing","USD","13500","0",,,
"Film & Video","USD","9500","9660",,,
"Film & Video","USD","60000","635",,,
"Games","USD","25000","37199",,,
"Film & Video","USD","250000","65",,,
"Art","USD","5000","587",,,
"Food","USD","15000","124998",,,
"Music","USD","850","485",,,
"Theater","USD","15000","15425",,,
"Technology","USD","87000","2030",,,
"Technology","USD","100000","141",,,
"Music","USD","4000","4795",,,
"Games","USD","13000","2453",,,
"Food","USD","25000","0",,,
"Fashion","USD","68000","0",,,
"Theater","USD","7500","8157.01",,,
"Film & Video","USD","29700","10410",,,
"Games","USD","50000","1410",,,
"Games","USD","13000","1811",,,
"Film & Video","USD","4000","4045",,,
"Music","USD","500","1540",,,
"Fashion","USD","500","754.82",,,
"Theater","USD","5000","110",,,
"Food","USD","3000","1027",,,
"Music","USD","4500","409",,,
"Comics","USD","4289","474",,,
"Theater","USD","2000","2075",,,
"Music","USD","15000","151",,,
"Music","USD","10000","10414",,,
"Film & Video","USD","1500","1932.99",,,
"Film & Video","USD","3000","3755",,,
"Film & Video","USD","2000","2252.99",,,
"Food","USD","5000","0",,,
"Film & Video","USD","500","756",,,
"Music","USD","200","274.05",,,
"Publishing","USD","1000","125",,,
"Design","USD","500","156",,,
"Food","USD","20000","47273",,,
"Film & Video","USD","5000","50",,,
"Fashion","USD","5400","5858",,,
"Fashion","USD","1750","1805",,,
"Music","USD","1000","1455",,,
"Games","USD","19500","20269",,,
"Food","USD","100","0",,,
"Music","USD","10000","10",,,
"Music","USD","1000","472",,,
"Music","USD","6325","10",,,
"Film & Video","USD","20000","270",,,
"Publishing","USD","25000","0",,,
"Design","USD","125000","3012",,,
"Dance","USD","3400","0",,,
"Games","USD","2000","14794",,,
"Food","USD","20000","0",,,
"Photography","USD","3200","568",,,
"Games","USD","200","306.72",,,
"Technology","USD","250000","90771",,,
"Art","USD","650","0",,,
"Art","USD","800","1062.57",,,
"Music","USD","10000","4006",,,
"Publishing","USD","1400","2535",,,
"Technology","USD","15000","25",,,
"Games","USD","25000","65",,,
"Music","USD","3000","260",,,
"Art","USD","650","2354.5",,,
"Photography","USD","1000","95",,,
"Fashion","USD","2500","25",,,
"Technology","USD","6000","20",,,
"Games","USD","12000","3100.66",,,
"Technology","USD","8500","1355",,,
"Theater","USD","7500","8315",,,
"Technology","USD","250000","268192",,,
"Publishing","USD","1000","2883.5",,,
"Games","USD","70000","15542.11",,,
"Games","USD","7500","942.25",,,
"Fashion","USD","36000","91003.67",,,
"Music","USD","5000","0",,,
"Film & Video","USD","100000","8085",,,
"Art","USD","1200","2",,,
"Film & Video","USD","6500","555",,,
"Music","USD","32000","4670",,,
"Music","USD","777","923",,,
"Publishing","USD","7500","9500",,,
"Film & Video","USD","50000","2161",,,
"Design","USD","80000","843743",,,
"Music","USD","2000","2036",,,
"Design","USD","9500","0",,,
"Film & Video","USD","5000","5120",,,
"Design","USD","10000","805",,,
"Games","USD","50000","1825",,,
"Music","USD","4000","4629",,,
"Design","USD","30000","1041",,,
"Design","USD","5000","26407",,,
"Music","USD","4000","30",,,
"Publishing","USD","19650","20313",,,
"Film & Video","USD","800","850",,,
"Art","USD","275","642",,,
"Games","USD","14000","113",,,
"Music","USD","15000","18009",,,
"Photography","USD","2500","0",,,
"Design","USD","35000","39209",,,
"Photography","USD","11000","75",,,
"Fashion","USD","3000","23079",,,
"Photography","USD","17500","656",,,
"Film & Video","USD","500","5",,,
"Film & Video","USD","5000","0",,,
"Theater","USD","4000","4813",,,
"Design","USD","8000","0",,,
"Theater","USD","9000","10046",,,
"Games","USD","1500","1620",,,
"Publishing","USD","3500","0",,,
"Games","USD","150","60",,,
"Film & Video","USD","5250","0",,,
"Games","USD","300000","1",,,
"Art","USD","3000","4386",,,
"Music","USD","2000","170",,,
"Crafts","USD","7000","0",,,
"Games","USD","750","1207",,,
"Comics","USD","2000","2585",,,
"Publishing","USD","1500","1500",,,
"Food","USD","25000","30066",,,
"Publishing","USD","15000","25",,,
"Games","USD","5000","176",,,
"Dance","USD","1200","1205",,,
"Design","USD","150","218",,,
"Publishing","USD","500","1",,,
"Music","USD","1000","0",,,
"Design","USD","75000","1736",,,
"Music","USD","5500","0",,,
"Film & Video","USD","1500","1612",,,
"Photography","USD","17000","35",,,
"Comics","USD","5150","5965.5",,,
"Technology","USD","5000","5000",,,
"Film & Video","USD","20000","22421",,,
"Food","USD","100000","1600",,,
"Film & Video","USD","5500","6614",,,
"Food","USD","25000","0",,,
"Art","USD","5000","0",,,
"Dance","USD","450","160",,,
"Technology","USD","3500","107",,,
"Food","USD","22500","50",,,
"Art","USD","5000","52",,,
"Games","USD","25000","18431",,,
"Publishing","USD","350","1067",,,
"Games","USD","12000","686",,,
"Food","USD","28000","12024",,,
"Dance","USD","1500","1900",,,
"Music","USD","10000","11713",,,
"Music","USD","10000","10328",,,
"Film & Video","USD","2500","1186.69",,,
"Games","USD","800","45",,,
"Film & Video","USD","2000","310",,,
"Film & Video","USD","3397.98","50",,,
"Art","USD","3000","3125",,,
"Film & Video","USD","10000","1765",,,
"Film & Video","USD","5000","100",,,
"Film & Video","USD","3500","3585",,,
"Film & Video","USD","40000","733",,,
"Art","USD","1000","1145",,,
"Fashion","USD","10000","3238",,,
"Art","USD","30000","1152",,,
"Technology","USD","25000","227673",,,
"Art","USD","10000","11511.1",,,
"Comics","USD","2500","2611",,,
"Design","USD","9225","1076",,,
"Publishing","USD","2200","2510",,,
"Art","USD","550","708",,,
"Food","USD","3500","1278",,,
"Music","USD","1300","625",,,
"Film & Video","USD","2500","3863.37",,,
"Fashion","USD","1500","247",,,
"Film & Video","USD","9000","171",,,
"Art","USD","4500","5263",,,
"Games","USD","10000","60",,,
"Publishing","USD","3800","272",,,
"Games","USD","7000","7782",,,
"Fashion","USD","5000","0",,,
"Design","USD","7500","41759",,,
"Theater","USD","1971","2308.5",,,
"Film & Video","USD","5000","0",,,
"Games","USD","10000","14414",,,
"Fashion","USD","1750","2190",,,
"Publishing","USD","2000","325",,,
"Music","USD","2250","40",,,
"Food","USD","2000","0",,,
"Photography","USD","60000","10820",,,
"Food","USD","25000","25816",,,
"Art","USD","4800","5080.2",,,
"Publishing","USD","7000","0",,,
"Art","USD","8000","100",,,
"Photography","USD","6000","6022",,,
"Fashion","USD","20000","1591",,,
"Food","USD","15000","15018",,,
"Publishing","USD","4500","0",,,
"Film & Video","USD","15000","785",,,
"Comics","USD","65000","50",,,
"Technology","USD","8500","0",,,
"Design","USD","999","13757",,,
"Film & Video","USD","15000","15040.33",,,
"Technology","USD","9000","0",,,
"Dance","USD","3000","5",,,
"Music","USD","7000","7453",,,
"Film & Video","USD","50000","66554.56",,,
"Technology","USD","50000","5650",,,
"Music","USD","15000","130",,,
"Music","USD","2000","80",,,
"Music","USD","3500","1005",,,
"Film & Video","USD","10000","0",,,
"Design","USD","7000","8952.22",,,
"Music","USD","5000","140",,,
"Fashion","USD","1","566",,,
"Technology","USD","500","0",,,
"Design","USD","40000","326",,,
"Technology","USD","1000","0",,,
"Film & Video","USD","500000","0",,,
"Photography","USD","18000","18625",,,
"Comics","USD","1000","1",,,
"Film & Video","USD","800","1072",,,
"Games","USD","6000","4636",,,
"Design","USD","25000","39693",,,
"Film & Video","USD","12500","12857",,,
"Food","USD","2500","3712",,,
"Publishing","USD","28000","3775",,,
"Film & Video","USD","500","600",,,
"Art","USD","5500","7498.77",,,
"Publishing","USD","25000","0",,,
"Film & Video","USD","4000","296",,,
"Film & Video","USD","20000","756",,,
"Games","USD","7500","9125",,,
"Music","USD","1000","1221",,,
"Film & Video","USD","25000","25712",,,
"Music","USD","7500","8739.01",,,
"Film & Video","USD","750","865",,,
"Film & Video","USD","1000","91",,,
"Music","USD","7000","100",,,
"Comics","USD","5000","20",,,
"Art","USD","2000","0",,,
"Journalism","USD","1287","227",,,
"Dance","USD","6000","6000",,,
"Photography","USD","10000","10290",,,
"Film & Video","USD","7500","8294.63",,,
"Music","USD","800","815",,,
"Comics","USD","60000","320",,,
"Design","USD","15000","935",,,
"Design","USD","18000","87207.5",,,
"Publishing","USD","2000","0",,,
"Fashion","USD","20000","1034",,,
"Art","USD","3000","1189",,,
"Comics","USD","550","3318",,,
"Publishing","USD","10000","101",,,
"Film & Video","USD","3000","165",,,
"Film & Video","USD","25000","1185",,,
"Food","USD","5500","6510",,,
"Publishing","USD","3000","80",,,
"Technology","USD","10000","17771",,,
"Games","USD","6055","0",,,
"Design","USD","20000","20563",,,
"Film & Video","USD","600","10",,,
"Photography","USD","3000","797",,,
"Art","USD","350","161",,,
"Art","USD","4000","4600",,,
"Publishing","USD","200","0",,,
"Food","USD","15000","16656",,,
"Fashion","USD","1500","0",,,
"Art","USD","3000","3005.33",,,
"Music","USD","3000","200",,,
"Theater","USD","6500","1810",,,
"Art","USD","4000","0",,,
"Journalism","USD","2500","3184",,,
"Music","USD","20","5075",,,
"Film & Video","USD","22000","0",,,
"Music","USD","8000","9137",,,
"Music","USD","400","0",,,
"Publishing","USD","2000","2522",,,
"Publishing","USD","3021","113",,,
"Technology","USD","15000","3877",,,
"Design","USD","500","838.01",,,
"Technology","USD","18000","410",,,
"Art","USD","25000","1250",,,
"Film & Video","USD","600","10",,,
"Art","USD","1100","0",,,
"Art","USD","10000","10050",,,
"Technology","USD","98000","1",,,
"Film & Video","USD","7500","691",,,
"Art","USD","5000","33",,,
"Publishing","USD","16000","375",,,
"Dance","USD","3500","3520",,,
"Film & Video","USD","2500","2708",,,
"Music","USD","2000","0",,,
"Games","USD","10200","20709.5",,,
"Publishing","USD","16000","17563",,,
"Music","USD","2500","12413",,,
"Design","USD","700","341",,,
"Publishing","USD","15000","0",,,
"Art","USD","500","1745",,,
"Art","USD","1000","0",,,
"Film & Video","USD","4000","4279",,,
"Film & Video","USD","5000","131",,,
"Fashion","USD","13500","1383",,,
"Art","USD","2300","2455",,,
"Film & Video","USD","3250","3606",,,
"Games","USD","22500","308",,,
"Film & Video","USD","5000","5975",,,
"Games","USD","25000","91972.5",,,
"Film & Video","USD","5000","200",,,
"Film & Video","USD","50000","0",,,
"Games","USD","6000","31",,,
"Food","USD","25000","0",,,
"Crafts","USD","2750","20",,,
"Music","USD","2500","3100",,,
"Theater","USD","5000","0",,,
"Music","USD","3000","3000",,,
"Film & Video","USD","10000","377",,,
"Art","USD","7000","50",,,
"Film & Video","USD","5500","11001",,,
"Technology","USD","10000","23447",,,
"Film & Video","USD","3000","0",,,
"Games","USD","500","501",,,
"Crafts","USD","120","120",,,
"Technology","USD","45000","895",,,
"Technology","USD","25000","41136.55",,,
"Music","USD","5000","5189",,,
"Film & Video","USD","13000","15435.55",,,
"Art","USD","2500","660",,,
"Film & Video","USD","5000","0",,,
"Music","USD","500","0",,,
"Film & Video","USD","12000","4370",,,
"Art","USD","2600","0",,,
"Comics","USD","4000","9047",,,
"Design","USD","15000","926",,,
"Theater","USD","900","1010",,,
"Art","USD","100000","116655.41",,,
"Music","USD","57000","61315",,,
"Design","USD","5000","35",,,
"Art","USD","4000","1040",,,
"Design","USD","50000","129311",,,
"Design","USD","14000","24428",,,
"Music","USD","2000","2037.19",,,
"Games","USD","89999","90715",,,
"Technology","USD","10000","0",,,
"Film & Video","USD","7000","1448",,,
"Film & Video","USD","5000","5772.15",,,
"Technology","USD","25000","31275.6",,,
"Film & Video","USD","1500","0",,,
"Food","USD","34000","596",,,
"Design","USD","1400","1",,,
"Music","USD","300000","0",,,
"Technology","USD","8500","16998",,,
"Publishing","USD","10080","20330",,,
"Publishing","USD","1675","0",,,
"Publishing","USD","4399","5688",,,
"Crafts","USD","10","36",,,
"Film & Video","USD","62700","1041",,,
"Food","USD","500000","5",,,
"Film & Video","USD","1000","10",,,
"Film & Video","USD","100000","17679",,,
"Publishing","USD","500","950.01",,,
"Art","USD","1000","1100",,,
"Art","USD","750","810",,,
"Film & Video","USD","5000","355",,,
"Film & Video","USD","5000","7375.51",,,
"Film & Video","USD","75000","1195",,,
"Music","USD","2000","95",,,
"Technology","USD","20000","5043",,,
"Technology","USD","150000","50",,,
"Art","USD","800","0",,,
"Photography","USD","2500","4331",,,
"Comics","USD","5000","2580",,,
"Music","USD","3000","3216",,,
"Music","USD","8000","9408",,,
"Games","USD","2400","2695",,,
"Film & Video","USD","3000","50",,,
"Theater","USD","300000","0",,,
"Games","USD","10000","1745",,,
"Music","USD","2500","3151.26",,,
"Art","USD","444","65",,,
"Music","USD","20000","33535.05",,,
"Food","USD","100000","102937",,,
"Film & Video","USD","3000","3551",,,
"Comics","USD","15000","1356",,,
"Art","USD","5000","5001.31",,,
"Music","USD","1000","1",,,
"Film & Video","USD","3500","547.8",,,
"Fashion","USD","20000","165",,,
"Theater","USD","500","500",,,
"Design","USD","12000","359",,,
"Games","USD","300","11",,,
"Publishing","USD","50000","0",,,
"Games","USD","1000","3388",,,
"Music","USD","2000","160",,,
"Art","USD","41000","0",,,
"Food","USD","8000","8540",,,
"Journalism","USD","160","6",,,
"Music","USD","1200","1360.48",,,
"Music","USD","2000","0",,,
"Music","USD","1200","35",,,
"Film & Video","USD","3500","5",,,
"Film & Video","USD","1400","1405",,,
"Music","USD","3500","3576",,,
"Music","USD","5500","1310",,,
"Film & Video","USD","10000","10210",,,
"Comics","USD","3000","12",,,
"Film & Video","USD","15000","0",,,
"Art","USD","750","313",,,
"Film & Video","USD","4500","0",,,
"Publishing","USD","4444","4574",,,
"Film & Video","USD","5000","85",,,
"Fashion","USD","45000","284",,,
"Music","USD","6000","7007.8",,,
"Film & Video","USD","45000","11687.5",,,
"Music","USD","1000","1000",,,
"Design","USD","7500","15720",,,
"Art","USD","5000","318",,,
"Music","USD","4500","4603.5",,,
"Technology","USD","30000","396299",,,
"Comics","USD","8500","1579",,,
"Games","USD","15000","103114.5",,,
"Art","USD","2750","2820",,,
"Publishing","USD","4500","4569",,,
"Music","USD","1000","526",,,
"Comics","USD","50","439",,,
"Music","USD","3500","4176",,,
"Film & Video","USD","5000","5040.18",,,
"Fashion","USD","10000","216",,,
"Film & Video","USD","70000","1081",,,
"Publishing","USD","100000","15",,,
"Fashion","USD","5000","585",,,
"Music","USD","1500","240.77",,,
"Theater","USD","21500","630",,,
"Comics","USD","9000","250",,,
"Film & Video","USD","25000","1",,,
"Art","USD","117000","125",,,
"Film & Video","USD","30000","4",,,
"Technology","USD","4860","0",,,
"Food","USD","5000","2186",,,
"Design","USD","7770","8660",,,
"Fashion","USD","6000","55",,,
"Art","USD","4500","136",,,
"Design","USD","35000","249",,,
"Art","USD","6907","10",,,
"Design","USD","5000","5850",,,
"Film & Video","USD","3000","265",,,
"Crafts","USD","2000","0",,,
"Music","USD","10000","1159",,,
"Comics","USD","6000","5325",,,
"Music","USD","10000","12760.31",,,
"Film & Video","USD","4000","4266",,,
"Publishing","USD","3000","3026.75",,,
"Music","USD","1000","1000",,,
"Food","USD","1500","100",,,
"Dance","USD","850","875",,,
"Games","USD","8450","8376",,,
"Film & Video","USD","10000","10451.52",,,
"Film & Video","USD","68000","507",,,
"Art","USD","520","339",,,
"Food","USD","10000","10205",,,
"Technology","USD","20000","21613.47",,,
"Art","USD","11000","0",,,
"Film & Video","USD","10000","1050",,,
"Art","USD","100000","50230",,,
"Food","USD","5000","125",,,
"Photography","USD","10850","1890",,,
"Fashion","USD","1500","0",,,
"Film & Video","USD","40000","5",,,
"Music","USD","3000","725.5",,,
"Games","USD","30000","3351",,,
"Games","USD","250000","75",,,
"Design","USD","2000","58",,,
"Film & Video","USD","5000","5002",,,
"Publishing","USD","8994","3139",,,
"Technology","USD","4000","7",,,
"Film & Video","USD","40000","45155",,,
"Publishing","USD","3500","520",,,
"Music","USD","1000","0",,,
"Film & Video","USD","10000","2350",,,
"Technology","USD","9000","30126",,,
"Design","USD","100000","4737",,,
"Theater","USD","250","251",,,
"Publishing","USD","2200","250",,,
"Film & Video","USD","40000","40546",,,
"Technology","USD","100000","162",,,
"Music","USD","1800","2179",,,
"Music","USD","3000","3660.38",,,
"Film & Video","USD","45000","1",,,
"Film & Video","USD","300000","1",,,
"Games","USD","27000","38186",,,
"Art","USD","15000","18280",,,
"Art","USD","2000","2688",,,
"Crafts","USD","750","240",,,
"Film & Video","USD","4000","200",,,
"Food","USD","20","0",,,
"Publishing","USD","3000","15",,,
"Food","USD","175000","120",,,
"Comics","USD","25000","0",,,
"Fashion","USD","20000","110",,,
"Publishing","USD","3000","3368",,,
"Film & Video","USD","10000","11515.91",,,
"Music","USD","5000","5475",,,
"Film & Video","USD","600","200",,,
"Film & Video","USD","1000000","25",,,
"Comics","USD","1000","1215",,,
"Art","USD","600","1026",,,
"Art","USD","700","702",,,
"Fashion","USD","800","0",,,
"Food","USD","10000","10164",,,
"Games","USD","60","198",,,
"Games","USD","450","607",,,
"Technology","USD","65000","175",,,
"Technology","USD","60000","446",,,
"Music","USD","12000","175",,,
"Design","USD","2000","2516.24",,,
"Photography","USD","2000","15",,,
"Art","USD","1400","1671",,,
"Music","USD","600","0",,,
"Design","USD","4040","5198",,,
"Games","USD","5000","71",,,
"Publishing","USD","800","200",,,
"Film & Video","USD","150000","23098",,,
"Film & Video","USD","550","590",,,
"Art","USD","16000","5846",,,
"Publishing","USD","24000","626",,,
"Music","USD","7500","210",,,
"Music","USD","400","5",,,
"Film & Video","USD","400000","24165",,,
"Art","USD","3500","4540",,,
"Music","USD","2200","4746.69",,,
"Film & Video","USD","1500","376",,,
"Technology","USD","2500","38946.01",,,
"Technology","USD","80000","0",,,
"Film & Video","USD","20000","225",,,
"Comics","USD","9000","11357",,,
"Art","USD","2000","80",,,
"Art","USD","900","6",,,
"Music","USD","1000","270",,,
"Film & Video","USD","125000","281",,,
"Crafts","USD","200","0",,,
"Fashion","USD","300","0",,,
"Photography","USD","3500","1632",,,
"Publishing","USD","500","5",,,
"Film & Video","USD","4000","630",,,
"Art","USD","10000","100",,,
"Games","USD","2000","0",,,
"Design","USD","2000","4201",,,
"Film & Video","USD","50000","396",,,
"Music","USD","15000","0",,,
"Design","USD","30000","0",,,
"Music","USD","1000","41",,,
"Film & Video","USD","6000","0",,,
"Film & Video","USD","2000","6625",,,
"Music","USD","5000","6370",,,
"Photography","USD","5000","0",,,
"Food","USD","6000","10",,,
"Technology","USD","250000","0",,,
"Publishing","USD","8000","0",,,
"Games","USD","20000","926.87",,,
"Design","USD","43000","52837.51",,,
"Fashion","USD","2000","5189",,,
"Film & Video","USD","5000","0",,,
"Games","USD","10000","125808.4",,,
"Music","USD","5000","5000",,,
"Music","USD","10000","0",,,
"Art","USD","250","305",,,
"Publishing","USD","5000","1",,,
"Dance","USD","5000","5255",,,
"Crafts","USD","2000","0",,,
"Film & Video","USD","6000","6695",,,
"Journalism","USD","110000","0",,,
"Art","USD","600","20",,,
"Music","USD","2750","2926",,,
"Art","USD","3000","1870",,,
"Games","USD","40000","7508.46",,,
"Publishing","USD","1000","10",,,
"Publishing","USD","4500","4653",,,
"Crafts","USD","10000","0",,,
"Crafts","USD","500","0",,,
"Photography","USD","700","985",,,
"Theater","USD","2500","2667",,,
"Film & Video","USD","15000","1220",,,
"Music","USD","25","1310",,,
"Music","USD","1200","1585",,,
"Film & Video","USD","30000","42060.63",,,
"Art","USD","25000","1141.5",,,
"Music","USD","650","2",,,
"Art","USD","2000","421",,,
"Publishing","USD","11678","4640",,,
"Fashion","USD","9500","0",,,
"Food","USD","50000","18483",,,
"Design","USD","4000","60",,,
"Film & Video","USD","6500","10120.5",,,
"Music","USD","5000","5480",,,
"Art","USD","7500","8900.33",,,
"Technology","USD","5000","5060",,,
"Art","USD","500","3090",,,
"Film & Video","USD","105000","11944",,,
"Food","USD","5000","100",,,
"Music","USD","10000","1",,,
"Photography","USD","3000","300",,,
"Music","USD","10667","1220",,,
"Art","USD","1000","1390",,,
"Art","USD","1300","1486",,,
"Games","USD","1750","4245",,,
"Games","USD","75000","5396",,,
"Photography","USD","6000","14006",,,
"Publishing","USD","30000","8651.98",,,
